,title,code,type,lastupdateofdata,lasttablestructurechange,datastart,dataend
13,Grossweightofgoodstransportedto/frommainports-Finland,MAR_GO_AM_FI,dataset,2024-07-09T23:00:00+0200,2024-07-09T23:00:00+0200,1997,2023
14,Grossweightofgoodstransportedto/frommainports-France,MAR_GO_AM_FR,dataset,2024-09-23T23:00:00+0200,2024-09-23T23:00:00+0200,1998,2023
15,Grossweightofgoodstransportedto/frommainports-Croatia,MAR_GO_AM_HR,dataset,2024-02-20T23:00:00+0100,2024-02-20T23:00:00+0100,2005,2023
16,Grossweightofgoodstransportedto/frommainports-Ireland,MAR_GO_AM_IE,dataset,2024-07-30T23:00:00+0200,2024-07-30T23:00:00+0200,1998,2023
17,Grossweightofgoodstransportedto/frommainports-Italy,MAR_GO_AM_IT,dataset,2024-09-20T23:00:00+0200,2024-09-20T23:00:00+0200,1997,2023
18,Grossweightofgoodstransportedto/frommainports-Lithuania,MAR_GO_AM_LT,dataset,2024-08-22T23:00:00+0200,2024-08-22T23:00:00+0200,2004,2023
19,Grossweightofgoodstransportedto/frommainports-Latvia,MAR_GO_AM_LV,dataset,2024-07-09T23:00:00+0200,2024-07-09T23:00:00+0200,2004,2023
20,Grossweightofgoodstransportedto/frommainports-Montenegro,MAR_GO_AM_ME,dataset,2024-04-22T23:00:00+0200,2024-04-22T23:00:00+0200,2018,2022
21,Grossweightofgoodstransportedto/frommainports-Malta,MAR_GO_AM_MT,dataset,2024-07-09T23:00:00+0200,2024-07-09T23:00:00+0200,2003,2023
22,Grossweightofgoodstransportedto/frommainports-Netherlands,MAR_GO_AM_NL,dataset,2024-07-09T23:00:00+0200,2024-07-09T23:00:00+0200,1997,2023
23,Grossweightofgoodstransportedto/frommainports-Norway,MAR_GO_AM_NO,dataset,2024-07-17T23:00:00+0200,2024-07-17T23:00:00+0200,2002,2023
24,Grossweightofgoodstransportedto/frommainports-Poland,MAR_GO_AM_PL,dataset,2024-08-22T23:00:00+0200,2024-08-22T23:00:00+0200,2001,2023
25,Grossweightofgoodstransportedto/frommainports-Portugal,MAR_GO_AM_PT,dataset,2024-10-04T23:00:00+0200,2024-10-04T23:00:00+0200,1997,2023
26,Grossweightofgoodstransportedto/frommainports-Romania,MAR_GO_AM_RO,dataset,2024-07-09T23:00:00+0200,2024-07-09T23:00:00+0200,2004,2023
27,Grossweightofgoodstransportedto/frommainports-Sweden,MAR_GO_AM_SE,dataset,2024-07-09T23:00:00+0200,2024-07-09T23:00:00+0200,1997,2023
28,Grossweightofgoodstransportedto/frommainports-Slovenia,MAR_GO_AM_SI,dataset,2024-10-21T23:00:00+0200,2024-10-21T23:00:00+0200,2001,2023
29,Grossweightofgoodstransportedto/frommainports-Türkiye,MAR_GO_AM_TR,dataset,2024-10-01T23:00:00+0200,2024-10-01T23:00:00+0200,2008,2023
30,Grossweightofgoodstransportedto/frommainports-UnitedKingdom,MAR_GO_AM_UK,dataset,2010-04-22T11:00:00+0200,2024-10-14T23:00:00+0200,2000,2019
31,Grossweightofgoodstransportedto/frommainportsbydirectionandtypeoftraffic(nationalandinternational)-quarterlydata,MAR_GO_QM,dataset,2024-11-28T23:00:00+0100,2024-11-28T23:00:00+0100,1997-Q1,2024-Q3
32,Grossweightofgoodshandledinmainportsbydirectionandtypeofcargo-quarterlydata,MAR_GO_QMC,dataset,2024-11-28T23:00:00+0100,2024-11-28T23:00:00+0100,1997-Q1,2024-Q3
33,Grossweightofgoodstransportedto/frommainports-Belgium-quarterlydata,MAR_GO_QM_BE,dataset,2024-09-09T11:00:00+0200,2024-09-09T11:00:00+0200,1997-Q1,2024-Q1
34,Grossweightofgoodstransportedto/frommainports-Bulgaria-quarterlydata,MAR_GO_QM_BG,dataset,2024-11-28T23:00:00+0100,2024-11-28T23:00:00+0100,2001-Q1,2024-Q3
35,Volumeofcontainerstransportedto/frommainports-quarterlydata(1997-1999),MAR_GO_QM_C1999,dataset,2018-07-09T23:00:00+0200,2023-11-22T11:00:00+0100,1997-Q1,1999-Q4
36,Volumeofcontainerstransportedto/frommainports-quarterlydata(2000-2002),MAR_GO_QM_C2002,dataset,2018-07-09T23:00:00+0200,2023-11-22T11:00:00+0100,2000-Q1,2002-Q4
37,Volumeofcontainerstransportedto/frommainports-quarterlydata(2003-2004),MAR_GO_QM_C2004,dataset,2018-11-09T23:00:00+0100,2023-11-22T11:00:00+0100,2003-Q1,2004-Q4
38,Volumeofcontainerstransportedto/frommainports-quarterlydata(2005-2006),MAR_GO_QM_C2006,dataset,2019-06-26T23:00:00+0200,2023-11-22T11:00:00+0100,2005-Q1,2006-Q4
39,Volumeofcontainerstransportedto/frommainports-quarterlydata(2007-2008),MAR_GO_QM_C2008,dataset,2019-06-26T23:00:00+0200,2023-11-22T11:00:00+0100,2007-Q1,2008-Q4
40,Volumeofcontainerstransportedto/frommainports-quarterlydata(2009-2010),MAR_GO_QM_C2010,dataset,2019-06-26T23:00:00+0200,2023-11-22T11:00:00+0100,2009-Q1,2010-Q4
41,Volumeofcontainerstransportedto/frommainports-quarterlydata(2011-2012),MAR_GO_QM_C2012,dataset,2019-06-26T23:00:00+0200,2023-11-22T11:00:00+0100,2011-Q1,2012-Q4
42,Volumeofcontainerstransportedto/frommainports-quarterlydata(2013-2014),MAR_GO_QM_C2014,dataset,2020-01-16T23:00:00+0100,2023-11-22T11:00:00+0100,2013-Q1,2014-Q4
43,Volumeofcontainerstransportedto/frommainports-quarterlydata(2015-2016),MAR_GO_QM_C2016,dataset,2021-11-25T23:00:00+0100,2023-11-22T11:00:00+0100,2015-Q1,2016-Q4
44,Volumeofcontainerstransportedto/frommainports-quarterlydata(2017-2018),MAR_GO_QM_C2018,dataset,2021-11-25T23:00:00+0100,2023-11-22T11:00:00+0100,2017-Q1,2018-Q4
45,Volumeofcontainerstransportedto/frommainports-quarterlydata(2019-2020),MAR_GO_QM_C2020,dataset,2024-07-04T23:00:00+0200,2024-07-04T23:00:00+0200,2019-Q1,2020-Q4
46,Volumeofcontainerstransportedto/frommainports-quarterlydata(2021-2022),MAR_GO_QM_C2022,dataset,2024-07-09T23:00:00+0200,2024-07-09T23:00:00+0200,2021-Q1,2022-Q4
47,Volumeofcontainerstransportedto/frommainports-quarterlydata(2023-2024),MAR_GO_QM_C2024,dataset,2024-11-28T23:00:00+0100,2024-11-28T23:00:00+0100,2023-Q1,2024-Q3
48,Grossweightofgoodstransportedto/frommainports-Cyprus-quarterlydata,MAR_GO_QM_CY,dataset,2024-08-22T23:00:00+0200,2024-08-22T23:00:00+0200,2004-Q1,2024-Q1
49,Grossweightofgoodstransportedto/frommainports-Germany-quarterlydata,MAR_GO_QM_DE,dataset,2024-11-14T11:00:00+0100,2024-11-14T11:00:00+0100,1997-Q1,2024-Q2
50,Grossweightofgoodstransportedto/frommainports-Denmark-quarterlydata,MAR_GO_QM_DK,dataset,2024-07-10T23:00:00+0200,2024-07-10T23:00:00+0200,1997-Q1,2024-Q1
51,Grossweightofgoodstransportedto/frommainports-Estonia-quarterlydata,MAR_GO_QM_EE,dataset,2024-10-21T23:00:00+0200,2024-10-21T23:00:00+0200,2002-Q1,2024-Q2
52,Grossweightofgoodstransportedto/frommainports-Greece-quarterlydata,MAR_GO_QM_EL,dataset,2024-10-21T23:00:00+0200,2024-10-21T23:00:00+0200,1997-Q1,2024-Q1
53,Grossweightofgoodstransportedto/frommainports-Spain-quarterlydata,MAR_GO_QM_ES,dataset,2024-10-21T23:00:00+0200,2024-10-21T23:00:00+0200,2000-Q1,2024-Q2
54,Grossweightofgoodstransportedto/frommainports-Finland-quarterlydata,MAR_GO_QM_FI,dataset,2024-11-14T11:00:00+0100,2024-11-14T11:00:00+0100,1997-Q1,2024-Q2
55,Grossweightofgoodstransportedto/frommainports-France-quarterlydata,MAR_GO_QM_FR,dataset,2024-10-01T23:00:00+0200,2024-10-01T23:00:00+0200,1998-Q1,2024-Q1
56,Grossweightofgoodstransportedto/frommainports-Croatia-quarterlydata,MAR_GO_QM_HR,dataset,2024-11-28T23:00:00+0100,2024-11-28T23:00:00+0100,2005-Q1,2024-Q3
57,Grossweightofgoodstransportedto/frommainports-Ireland-quarterlydata,MAR_GO_QM_IE,dataset,2024-11-28T23:00:00+0100,2024-11-28T23:00:00+0100,1997-Q1,2024-Q3
58,Grossweightofgoodstransportedto/frommainports-Italy-quarterlydata,MAR_GO_QM_IT,dataset,2024-09-20T23:00:00+0200,2024-09-20T23:00:00+0200,1997-Q1,2024-Q1
59,Grossweightofgoodstransportedto/frommainports-Lithuania-quarterlydata,MAR_GO_QM_LT,dataset,2024-11-08T23:00:00+0100,2024-11-08T23:00:00+0100,2004-Q1,2024-Q2
60,Grossweightofgoodstransportedto/frommainports-Latvia-quarterlydata,MAR_GO_QM_LV,dataset,2024-10-21T23:00:00+0200,2024-10-21T23:00:00+0200,2002-Q1,2024-Q2
61,Grossweightofgoodstransportedto/frommainports-Montenegro-quarterlydata,MAR_GO_QM_ME,dataset,2024-07-09T23:00:00+0200,2024-07-09T23:00:00+0200,2018-Q1,2023-Q4
62,Grossweightofgoodstransportedto/frommainports-Malta-quarterlydata,MAR_GO_QM_MT,dataset,2024-08-22T23:00:00+0200,2024-08-22T23:00:00+0200,2003-Q1,2024-Q1
63,Grossweightofgoodstransportedto/frommainports-Netherlands-quarterlydata,MAR_GO_QM_NL,dataset,2024-11-08T23:00:00+0100,2024-11-08T23:00:00+0100,1997-Q1,2024-Q2
64,Grossweightofgoodstransportedto/frommainports-Norway-quarterlydata,MAR_GO_QM_NO,dataset,2024-10-21T23:00:00+0200,2024-10-21T23:00:00+0200,2002-Q1,2024-Q2
65,Grossweightofgoodstransportedto/frommainports-Poland-quarterlydata,MAR_GO_QM_PL,dataset,2024-08-22T23:00:00+0200,2024-08-22T23:00:00+0200,2004-Q1,2024-Q1
66,Grossweightofgoodstransportedto/frommainports-Portugal-quarterlydata,MAR_GO_QM_PT,dataset,2024-10-04T23:00:00+0200,2024-10-04T23:00:00+0200,1997-Q1,2024-Q1
67,Grossweightofgoodstransportedto/frommainports-Romania-quarterlydata,MAR_GO_QM_RO,dataset,2024-09-09T11:00:00+0200,2024-09-09T11:00:00+0200,2002-Q1,2024-Q1
68,Grossweightofgoodstransportedto/frommainports-Sweden-quarterlydata,MAR_GO_QM_SE,dataset,2024-09-09T11:00:00+0200,2024-09-09T11:00:00+0200,1997-Q1,2024-Q2
69,Grossweightofgoodstransportedto/frommainports-Slovenia-quarterlydata,MAR_GO_QM_SI,dataset,2024-11-14T11:00:00+0100,2024-11-14T11:00:00+0100,2002-Q1,2024-Q2
70,Grossweightofgoodstransportedto/frommainports-Türkiye-quarterlydata,MAR_GO_QM_TR,dataset,2024-11-28T23:00:00+0100,2024-11-28T23:00:00+0100,2008-Q1,2024-Q3
71,Grossweightofgoodstransportedto/frommainports-UnitedKingdom-quarterlydata,MAR_GO_QM_UK,dataset,2020-12-18T23:00:00+0100,2023-11-22T11:00:00+0100,2000-Q1,2020-Q2
72,Countrylevel-grossweightofgoodshandledinallports,MAR_MG_AA_CWH,dataset,2024-11-25T23:00:00+0100,2024-11-25T23:00:00+0100,1997,2023
73,"Countrylevel-grossweightofgoodshandledinallports,bydirection",MAR_MG_AA_CWHD,dataset,2024-11-25T23:00:00+0100,2024-11-25T23:00:00+0100,1997,2023
74,Grossweightofgoodshandledinthetop20EUportsbydirection,MAR_MG_AA_PWHD,dataset,2024-11-25T23:00:00+0100,2024-11-25T23:00:00+0100,2005,2023
75,"Countrylevel-volume(inTEUs)ofcontainershandledinmainports,byloadingstatus",MAR_MG_AM_CVH,dataset,2024-11-25T23:00:00+0100,2024-11-25T23:00:00+0100,1997,2023
76,"Countrylevel-grossweightofgoodshandledinmainports,bytypeofcargo",MAR_MG_AM_CWHC,dataset,2024-11-25T23:00:00+0100,2024-11-25T23:00:00+0100,1997,2023
77,"Countrylevel-Grossweightofgoodshandledinmainports,bytypeofgoods",MAR_MG_AM_CWHG,dataset,2024-11-25T23:00:00+0100,2024-11-25T23:00:00+0100,2008,2023
78,Countrylevel-grossweightofgoodstransportedto/frommainports,MAR_MG_AM_CWT,dataset,2024-11-25T23:00:00+0100,2024-11-25T23:00:00+0100,1997,2023
79,"Countrylevel-grossweightofgoodstransportedto/frommainports,bytypeoftraffic",MAR_MG_AM_CWTT,dataset,2024-11-25T23:00:00+0100,2024-11-25T23:00:00+0100,1997,2023
80,Volumeofcontainershandledinthetop20EUmainportsbyloadingstatus,MAR_MG_AM_PVH,dataset,2024-11-25T23:00:00+0100,2024-11-25T23:00:00+0100,2005,2023
81,Grossweightofgoodshandledinthetop20EUmainportsbytypeofcargo,MAR_MG_AM_PWHC,dataset,2024-11-25T23:00:00+0100,2024-11-25T23:00:00+0100,2005,2023
82,Countrylevel-passengersembarkedanddisembarkedinallports,MAR_MP_AA_CPH,dataset,2024-11-29T23:00:00+0100,2024-11-29T23:00:00+0100,1997,2022
83,"Countrylevel-passengersembarkedanddisembarkedinallports,bydirection",MAR_MP_AA_CPHD,dataset,2024-11-29T23:00:00+0100,2024-11-29T23:00:00+0100,1997,2022
84,Passengersembarkedanddisembarkedinthetop20EUports,MAR_MP_AA_PPHD,dataset,2024-11-29T23:00:00+0100,2024-11-29T23:00:00+0100,2005,2022
85,Passengers(excludingcruisepassengers)transportedfrom/tothemainports,MAR_MP_AM_CFT,dataset,2024-11-29T23:00:00+0100,2024-11-29T23:00:00+0100,2004,2022
86,Passengers(excludingcruisepassengers)transportedfrom/tothemainportsbytransportcoverage,MAR_MP_AM_CFTT,dataset,2024-11-29T23:00:00+0100,2024-11-29T23:00:00+0100,2004,2022
87,Vesselsarrivinginthemainportsbytypeofvessels-annualdata,MAR_MT_AM_CSVI,dataset,2023-12-04T11:00:00+0100,2023-12-04T11:00:00+0100,1997,2022
88,Passengersembarkedanddisembarkedinallportsbydirection-annualdata,MAR_PA_AA,dataset,2024-11-28T23:00:00+0100,2024-10-01T23:00:00+0200,1997,2023
89,Passengers(excludingcruisepassengers)transportedfrom/tothemainportsbydirectionandtransportcoverage-quarterlydata,MAR_PA_QM,dataset,2024-11-28T23:00:00+0100,2024-11-28T23:00:00+0100,1997-Q1,2024-Q3
90,Passengers(excludingcruisepassengers)transportedfrom/tothemainports-Belgium-quarterlydata,MAR_PA_QM_BE,dataset,2024-09-09T11:00:00+0200,2024-09-09T11:00:00+0200,1997-Q1,2024-Q1
91,Passengers(excludingcruisepassengers)transportedfrom/tothemainports-Germany-quarterlydata,MAR_PA_QM_DE,dataset,2024-11-14T11:00:00+0100,2024-11-14T11:00:00+0100,2000-Q1,2024-Q2
92,Passengers(excludingcruisepassengers)transportedfrom/tothemainports-Denmark-quarterlydata,MAR_PA_QM_DK,dataset,2024-07-09T23:00:00+0200,2024-07-09T23:00:00+0200,1997-Q1,2024-Q1
93,Passengers(excludingcruisepassengers)transportedfrom/tothemainports-Estonia-quarterlydata,MAR_PA_QM_EE,dataset,2024-10-21T23:00:00+0200,2024-10-21T23:00:00+0200,2002-Q1,2024-Q2
94,Passengers(excludingcruisepassengers)transportedfrom/tothemainports-Greece-quarterlydata,MAR_PA_QM_EL,dataset,2024-09-09T23:00:00+0200,2024-09-09T23:00:00+0200,1997-Q1,2024-Q1
95,Passengers(excludingcruisepassengers)transportedfrom/tothemainports-Spain-quarterlydata,MAR_PA_QM_ES,dataset,2024-10-21T23:00:00+0200,2024-10-21T23:00:00+0200,2000-Q1,2024-Q2
96,Passengers(excludingcruisepassengers)transportedfrom/tothemainports-Finland-quarterlydata,MAR_PA_QM_FI,dataset,2024-11-14T11:00:00+0100,2024-11-14T11:00:00+0100,1997-Q1,2024-Q2
97,Passengers(excludingcruisepassengers)transportedfrom/tothemainports-France-quarterlydata,MAR_PA_QM_FR,dataset,2024-10-01T23:00:00+0200,2024-10-01T23:00:00+0200,1998-Q1,2024-Q1
98,Passengers(excludingcruisepassengers)transportedfrom/tothemainports-Croatia-quarterlydata,MAR_PA_QM_HR,dataset,2024-11-28T23:00:00+0100,2024-11-28T23:00:00+0100,2005-Q1,2024-Q3
99,Passengers(excludingcruisepassengers)transportedfrom/tothemainports-Ireland-quarterlydata,MAR_PA_QM_IE,dataset,2024-11-28T23:00:00+0100,2024-11-28T23:00:00+0100,1997-Q1,2024-Q3
100,Passengers(excludingcruisepassengers)transportedfrom/tothemainports-Italy-quarterlydata,MAR_PA_QM_IT,dataset,2024-09-23T23:00:00+0200,2024-09-23T23:00:00+0200,1997-Q1,2024-Q1
101,Passengers(excludingcruisepassengers)transportedfrom/tothemainports-Lithuania-quarterlydata,MAR_PA_QM_LT,dataset,2024-11-08T23:00:00+0100,2024-11-08T23:00:00+0100,2004-Q1,2024-Q2
102,Passengers(excludingcruisepassengers)transportedfrom/tothemainports-Latvia-quarterlydata,MAR_PA_QM_LV,dataset,2024-10-21T23:00:00+0200,2024-10-21T23:00:00+0200,2001-Q1,2024-Q2
103,Passengers(excludingcruisepassengers)transportedfrom/tothemainports-Montenegro-quarterlydata,MAR_PA_QM_ME,dataset,2024-07-10T11:00:00+0200,2024-07-10T11:00:00+0200,2019-Q1,2023-Q4
104,Passengers(excludingcruisepassengers)transportedfrom/tothemainports-Malta-quarterlydata,MAR_PA_QM_MT,dataset,2024-08-22T23:00:00+0200,2024-08-22T23:00:00+0200,2003-Q1,2024-Q1
105,Passengers(excludingcruisepassengers)transportedfrom/tothemainports-Netherlands-quarterlydata,MAR_PA_QM_NL,dataset,2024-11-08T23:00:00+0100,2024-11-08T23:00:00+0100,1997-Q1,2024-Q2
106,Passengers(excludingcruisepassengers)transportedfrom/tothemainports-Norway-quarterlydata,MAR_PA_QM_NO,dataset,2024-10-28T23:00:00+0100,2024-10-21T23:00:00+0200,2002-Q1,2024-Q2
107,Passengers(excludingcruisepassengers)transportedfrom/tothemainports-Poland-quarterlydata,MAR_PA_QM_PL,dataset,2024-08-22T23:00:00+0200,2024-08-22T23:00:00+0200,2004-Q1,2024-Q1
108,Passengers(excludingcruisepassengers)transportedfrom/tothemainports-Portugal-quarterlydata,MAR_PA_QM_PT,dataset,2024-10-21T23:00:00+0200,2024-10-21T23:00:00+0200,2000-Q1,2024-Q1
109,Passengers(excludingcruisepassengers)transportedfrom/tothemainports-Sweden-quarterlydata,MAR_PA_QM_SE,dataset,2024-07-09T23:00:00+0200,2024-07-09T23:00:00+0200,1997-Q1,2023-Q4
110,Passengers(excludingcruisepassengers)transportedfrom/tothemainports-Türkiye-quarterlydata,MAR_PA_QM_TR,dataset,2024-11-28T23:00:00+0100,2024-11-28T23:00:00+0100,2008-Q1,2024-Q3
111,Passengers(excludingcruisepassengers)transportedfrom/tothemainports-UnitedKingdom-quarterlydata,MAR_PA_QM_UK,dataset,2010-02-26T23:00:00+0100,2023-11-22T11:00:00+0100,1997-Q1,2020-Q2
112,Countrylevel-grossweightofgoodshandledinmainports,MAR_QG_QM_CWH,dataset,2024-10-29T11:00:00+0100,2024-10-29T11:00:00+0100,2005-Q1,2024-Q1
113,EUlevel-top20extra-EUmaritimetradeflowsbygrossweightofgoodshandledinEUmainports,MAR_QG_QM_EWH,dataset,2024-10-29T11:00:00+0100,2024-10-29T11:00:00+0100,2005-Q1,2024-Q1
114,"Eulevel-grossweightofgoodshandledinmainports,bydirection",MAR_QG_QM_EWHD,dataset,2024-10-29T11:00:00+0100,2024-10-29T11:00:00+0100,2005-Q1,2024-Q1
115,"Eulevel-grossweightofgoodshandledinmainports,byvarioustypesofpartnergeographicalareas",MAR_QG_QM_EWHG,dataset,2024-10-29T11:00:00+0100,2024-10-29T11:00:00+0100,2005-Q1,2024-Q1
116,"Eulevel-grossweightofgoodshandledinmainports,bytypeofcargo",MAR_QG_QM_EWHK,dataset,2024-10-29T11:00:00+0100,2024-10-29T11:00:00+0100,2005-Q1,2024-Q1
117,EUlevel-top10extra-EUpartnercountriesbygrossweightofgoodshandledinEUmainports,MAR_QG_QM_EWHP,dataset,2024-10-29T11:00:00+0100,2024-10-29T11:00:00+0100,2005-Q1,2024-Q1
118,"Eulevel-grossweightofgoodshandledinmainports,bytypeoftraffic",MAR_QG_QM_EWHT,dataset,2024-10-29T11:00:00+0100,2024-10-29T11:00:00+0100,2005-Q1,2024-Q1
119,Top5portsforvolumeofcontainers-volume(inTEUs)ofcontainershandledineachport,MAR_QG_QM_PVH,dataset,2024-10-29T11:00:00+0100,2024-10-29T11:00:00+0100,2005-Q1,2024-Q1
120,Top5ports-grossweightofgoodshandledineachport,MAR_QG_QM_PWH,dataset,2024-10-29T11:00:00+0100,2024-10-29T11:00:00+0100,2005-Q1,2024-Q1
121,Top5portsfordrybulk-grossweightofdrybulkgoodshandledineachport,MAR_QG_QM_PWHB,dataset,2024-10-29T11:00:00+0100,2024-10-29T11:00:00+0100,2005-Q1,2024-Q1
122,Top5portsforcontainers-grossweightofgoodsincontainershandledineachport,MAR_QG_QM_PWHC,dataset,2024-10-29T11:00:00+0100,2024-10-29T11:00:00+0100,2005-Q1,2024-Q1
123,Top5portsforliquidbulk-grossweightofliquidbulkgoodshandledineachport,MAR_QG_QM_PWHL,dataset,2024-10-29T11:00:00+0100,2024-10-29T11:00:00+0100,2005-Q1,2024-Q1
124,Top5portsforothercargonotelsewherespecified-grossweightofgoodsinothercargonotelsewherespecifiedhandledineachport,MAR_QG_QM_PWHO,dataset,2024-10-29T11:00:00+0100,2024-10-29T11:00:00+0100,2005-Q1,2024-Q1
125,Top5portsforRo-rounits-grossweightofgoodsinRo-Rounitshandledineachport,MAR_QG_QM_PWHR,dataset,2024-10-29T11:00:00+0100,2024-10-29T11:00:00+0100,2005-Q1,2024-Q1
126,"Shortseashipping-countrylevel-volume(inTEU's)ofcontainerstransportedto/frommainports,byloadingstatus",MAR_SG_AM_CV,dataset,2024-04-23T23:00:00+0200,2024-03-22T11:00:00+0100,2005,2022
127,Shortseashipping-countrylevel-grossweightofgoodstransportedto/frommainports,MAR_SG_AM_CW,dataset,2024-04-23T23:00:00+0200,2024-03-22T11:00:00+0100,2005,2022
128,"Shortseashipping-countrylevel-grossweightofgoodstransportedto/frommainports,bydirection",MAR_SG_AM_CWD,dataset,2024-04-23T23:00:00+0200,2024-03-22T11:00:00+0100,2005,2022
129,"Shortseashipping-countrylevel-grossweightofgoodstransportedto/frommainports,bytypeofcargo",MAR_SG_AM_CWK,dataset,2024-04-23T23:00:00+0200,2024-03-22T11:00:00+0100,2005,2022
130,"Shortseashipping-countrylevel-grossweightofgoodstransportedto/frommainports,bysearegionofpartnerports",MAR_SG_AM_CWS,dataset,2024-04-23T23:00:00+0200,2024-03-22T11:00:00+0100,2005,2022
131,"Shortseashipping-EUlevel-grossweightofgoodstransportedto/frommainports,bytypeofcargoforeachsearegionofpartnerports",MAR_SG_AM_EWX,dataset,2024-04-23T23:00:00+0200,2024-03-22T11:00:00+0100,2005,2022
132,Grossweightofgoodstransportedinshortseashippingfrom/tothetop20EUports,MAR_SG_AM_PW,dataset,2024-04-23T23:00:00+0200,2024-04-23T23:00:00+0200,2005,2022
133,Grossweightofdrybulkgoodstransportedinshortseashippingfrom/tothetop5EUportsfordrybulkgoods,MAR_SG_AM_PWB,dataset,2024-04-23T23:00:00+0200,2024-04-23T23:00:00+0200,2005,2022
134,Grossweightofgoodsincontainerstransportedinshortseashippingfrom/tothetop5EUportsforgoodsincontainers,MAR_SG_AM_PWC,dataset,2024-04-23T23:00:00+0200,2024-04-23T23:00:00+0200,2005,2022
135,Grossweightofliquidbulkgoodstransportedinshortseashippingfrom/tothetop5EUportsforliquidbulkgoods,MAR_SG_AM_PWL,dataset,2024-04-23T23:00:00+0200,2024-04-23T23:00:00+0200,2005,2022
136,GrossweightofgoodsinRo-rounitstransportedinshortseashippingfrom/tothetop5EUportsforgoodsinRo-rounits,MAR_SG_AM_PWR,dataset,2024-04-23T23:00:00+0200,2024-04-23T23:00:00+0200,2005,2022
137,Vesselsarrivinginthemainportsbytypeandsizeofvessels-quarterlydata,MAR_TF_QM,dataset,2024-11-28T23:00:00+0100,2024-11-28T23:00:00+0100,1997-Q1,2024-Q3
138,MaritimegoodstransportperformedintheExclusiveEconomicZone(EEZ)ofthecountries,MAR_TP_GO,dataset,2024-03-25T23:00:00+0100,2024-03-04T23:00:00+0100,2005,2022
139,MaritimepassengertransportperformedintheExclusiveEconomicZone(EEZ)ofthecountries,MAR_TP_PA,dataset,2024-03-04T23:00:00+0100,2024-03-04T23:00:00+0100,2005,2022
140,Maritimegoodsshort-seashippingperformedintheExclusiveEconomicZone(EEZ)ofthecountries,MAR_TP_SSS,dataset,2024-03-25T23:00:00+0100,2024-03-04T23:00:00+0100,2005,2022
141,VesselsarrivinginmainEUportsbytypeofvessels(estimates)-experimentalstatistics,MAR_V_EST,dataset,2024-06-05T11:00:00+0200,2024-06-05T11:00:00+0200,2015-Q1,2019-Q4
142,Structuralinformation,MED_AG1,dataset,2020-05-28T23:00:00+0200,2023-12-21T23:00:00+0100,2005,2018
143,Cropproduction,MED_AG2,dataset,2020-05-28T23:00:00+0200,2020-05-28T23:00:00+0200,2005,2019
144,Meat(totalproduction),MED_AG31,dataset,2020-05-28T23:00:00+0200,2024-01-10T23:00:00+0100,2005,2018
145,Annualproductionandutilisationofmilkonthefarm,MED_AG32,dataset,2016-08-29T23:00:00+0200,2024-01-10T23:00:00+0100,2000,2015
146,Livestockinnumberofheads,MED_AG33,dataset,2020-05-28T23:00:00+0200,2024-01-10T23:00:00+0100,2005,2018
147,Poultryfarming,MED_AG34,dataset,2020-05-28T23:00:00+0200,2024-01-10T23:00:00+0100,2005,2018
